"Número do Contrato";"Objeto";"Fundamento Legal";"Modalidade Compra";"Situação Contrato";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Data Assinatura Contrato";"Data Publicação DOU";"Data Início Vigência";"Data Fim Vigência";"Código Contratado";"Nome Contratado";"Valor Inicial Compra";"Valor Final Compra";"Número Licitação";"Código UG Licitação";"Nome UG Licitação";"Código Modalidade Compra Licitação";"Modalidade Compra Licitação"
"892014";"Objeto: Aquisição com instalação e manutenção, durante o período de garantia, de sistemas modulares para implantação do Centro Nacional para a Identificação do Pescado (CENIMP), em atendimento às demandas laboratoriais da Rede Nacional para identificação molecular do pescado, conforme especificações e quatitativos estabelecidos em edital.";"Fundamento Legal: Lei 8666/93, Lei 10520/2002 e lei 8078/90 - código de defesa do consumidor.";"Pregão - Registro de Preço";"Rescindido - Publicado";"26000";"Ministério da Educação";"26245";"Universidade Federal do Rio de Janeiro";"153115";"UNIVERSIDADE FEDERAL DO RIO DE JANEIRO";"30/12/2014";"06/01/2015";"30/12/2014";"27/05/2016";"12219645000107";"FRONT ESTRUTURAS EIRELI";"880000,0000";"880000,0000";"000282014";"153115";"UNIVERSIDADE FEDERAL DO RIO DE JANEIRO";"-99";"Pregão - Registro de Preço"
"642014";"Informação protegida por sigilo nos termos da legislação vigente";"Fundamento Legal: Lei 8666/93 e suas alterações";"Pregão";"Publicado";"30000";"Ministério da Justiça e Segurança Pública";"30108";"Departamento de Polícia Federal";"200334";"COORDENACAO GERAL DE ADMINISTRACAO CGAD/DLOG/";"19/01/2015";"28/01/2015";"28/01/2015";"27/01/2016";"-11";"Sigiloso";"209081,8700";"209081,8700";"000422014";"200334";"COORDENACAO GERAL DE ADMINISTRACAO CGAD/DLOG/";"5";"Pregão"
"372015";"Objeto: Aquisição de um sistema de dissecação óssea e demais características contidas no edital e termo de referência destinado ao hospital universitário da UNIVASF, com serviço de assistência técnica.";"Fundamento Legal: Lei 8.666/93 e suas alterações posteriores e Lei 10.520/02";"Pregão - Registro de Preço";"Publicado";"26000";"Ministério da Educação";"26230";"Fundação Universidade Federal do Vale do São ";"154421";"FUND. UNIVERSIDADE FEDERAL VALE SAO FRANCISCO";"21/01/2015";"28/01/2015";"21/01/2015";"21/01/2017";"59650556000176";"MACOM INSTRUMENTAL CIRURGICO INDUSTRIA LTDA";"41500,0000";"41500,0000";"000832013";"158517";"UNIVERSIDADE FEDERAL DA FRONTEIRA SUL";"-99";"Pregão - Registro de Preço"
"1112014";"Objeto: Prestação de serviços para manutenção das doses de radiação ionizante.";"Fundamento Legal: Lei 8666/93";"Pregão";"Publicado";"26000";"Ministério da Educação";"26274";"Fundação Universidade Federal de Uberlândia";"154043";"FUNDACAO UNIVERSIDADE FEDERAL DE UBERLANDIA";"09/01/2015";"27/01/2015";"09/01/2015";"09/01/2019";"07041060000100";"METROBRAS - METROLOGIA DAS RADIACOES IONIZANTES LTDA";"532840,0000";"614640,9200";"003552014";"150233";"HOSPITAL DE CLINICAS DA UFU";"5";"Pregão"
"22015";"Objeto: Contratação de atualização, implantação, manutenção, suporte técnico e treinamento do software Sophia de Gerenciamento de Bibliotecas.";"Fundamento Legal: Lei 8.666/93";"Inexigibilidade de Licitação";"Rescindido - Publicado";"39000";"Ministério da Infraestrutura";"39000";"Ministério da Infraestrutura - Unidades com v";"390004";"SUBSECRETARIA PLAN.,ORC.E ADM.-ADMINISTRATIVO";"15/01/2015";"16/01/2015";"15/01/2015";"14/01/2016";"69112514000135";"PRIMASOFT INFORMATICA LTDA.";"35302,0000";"88517,5900";"000062014";"390004";"SUBSECRETARIA PLAN.,ORC.E ADM.-ADMINISTRATIVO";"7";"Inexigibilidade de Licitação"
"52015";"Informação protegida por sigilo nos termos da legislação vigente";"Fundamento Legal: Lei 8.666/93; Lei 9.784/99; LC 123/06; Dec. 6.204/07.";"Tomada de Preços";"Publicado";"30000";"Ministério da Justiça e Segurança Pública";"30108";"Departamento de Polícia Federal";"200366";"DELEGACIA DE POLICIA FEDERAL EM FOZ DO IGUACU";"12/01/2015";"14/01/2015";"12/01/2015";"23/10/2015";"-11";"Sigiloso";"689176,3400";"689176,3400";"000022014";"200366";"DELEGACIA DE POLICIA FEDERAL EM FOZ DO IGUACU";"2";"Tomada de Preços"
"52014";"Objeto: Contratação de empresa especializada sob a forma de execução indireta para prestação de serviços continuados na área de apoio operacional, motorista categoria 'D', para atender ao campus IFPA/Altamira.";"Fundamento Legal: Lei 8.666/93 e alterações posteriores.";"Pregão - Registro de Preço";"Retificação - Publicado";"26000";"Ministério da Educação";"26416";"Instituto Federal do Pará";"158507";"INST.FED.DO PARA/CAMPUS ALTAMIRA";"01/12/2014";"08/01/2015";"01/12/2014";"02/12/2015";"09134888000120";"IMPERIAL RONDONIA FORNECIMENTO E GESTAO DE RECURSOS HUMANOS PARA TERCEIROS LTDA";"6396,0000";"29934,3200";"000152014";"194010";"COORD. REG. CENTRO-LESTE DO PARA/PA";"-99";"Pregão - Registro de Preço"
"10522014";"OBJETO: Licenciamento nacional para tv aberta ,em carater de exclusividade e internacional,viatv Brasil Internacional, dos direitos de trans-missão da série C do Campeonato Brasileiro   deFutebol, temporada 2015.";"Fundamento Legal: Caput do artigo 25 da  Lei nº8.666/93, combinada com o Decreto 6.505/2008.";"Sem Informação";"Fechado";"41000";"Ministério das Comunicações";"20415";"Empresa Brasil de Comunicação";"115406";"EMPRESA BRASIL DE COMUNICACAO S.A";"24/12/2014";"28/01/2015";"24/12/2014";"24/12/2015";"13425378000189";"CONTRATADO : EQUIPE SPORT PROMOTION & EVENTOS -LTDA";"9991618,6700";"9991618,6700";"-2";"";"";"";""
"702014";"Objeto: Aquisicao de material de consumo";"Fundamento Legal: Lei nº 10520/2002, decreto nº5450/2005 e lei nº 8666/1993";"Pregão - Registro de Preço";"Publicado";"40000";"Ministério do Trabalho";"37202";"Instituto Nacional do Seguro Social";"512006";"COORDENACAO DE ORCAMENTO E FINANCAS";"15/12/2014";"09/01/2015";"15/12/2014";"15/12/2015";"14288122000130";"MINAS BANDEIRAS INDUSTRIA E COMERCIO DE CONFECCOES EIRELI";"1620,0000";"1620,0000";"000242014";"512006";"COORDENACAO DE ORCAMENTO E FINANCAS";"-99";"Pregão - Registro de Preço"
"222014";"Objeto: Aquisição de material permanente de informática (estante rack para servidores e ativos) para atender o IFRR/Câmpus Novo Paraíso.";"Fundamento Legal: Lei 8666/93 e Lei 10520/02";"Pregão - Registro de Preço";"Publicado";"26000";"Ministério da Educação";"26437";"Instituto Federal de Roraima";"158351";"INST.FED.RORAIMA - CAMPUS NOVO PARAISO";"16/12/2014";"16/01/2015";"16/12/2014";"16/12/2015";"10345104000191";"MACTECNOLOGY COMERCIO DE INFORMATICA LTDA";"18000,0000";"18000,0000";"000032014";"158152";"INST.FED.DE EDUC.,CIENC.E TEC.DE RORAIMA";"-99";"Pregão - Registro de Preço"
