"Número do Contrato";"Objeto";"Fundamento Legal";"Modalidade Compra";"Situação Contrato";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Data Assinatura Contrato";"Data Publicação DOU";"Data Início Vigência";"Data Fim Vigência";"Código Contratado";"Nome Contratado";"Valor Inicial Compra";"Valor Final Compra";"Número Licitação";"Código UG Licitação";"Nome UG Licitação";"Código Modalidade Compra Licitação";"Modalidade Compra Licitação"
"122016";"Objeto: LOCAÇÃO DE IMÓVEL PARA SEDIAR A AG/APARECIDA DE GOIÂNIA-GO.";"Fundamento Legal: ART. 24, X DA LEI Nº 8.666/93";"Dispensa de Licitação";"Não se aplica";"25000";"Ministério da Economia";"25205";"Fundação Instituto Brasileiro de Geografia e ";"114627";"UNIDADE ESTADUAL DO IBGE EM GOIAS";"21/07/2016";"10/08/2016";"01/08/2016";"01/08/2024";"12205001191";"CONTRATADO : LUIZ GONCALVES FERREIRA          -";"76800,0000";"146308,3200";"000152016";"114627";"UNIDADE ESTADUAL DO IBGE EM GOIAS";"6";"Dispensa de Licitação"
"42016";"Objeto: CONTRATAÇÃO DE PESSOA JURÍDICA PARA PRESTAÇÃO DE SERVIÇOS CONTINUADOS DE APOIO ADMINISTRATIVO, COM DEDICAÇÃO EXCLUSIVA DE MÃO DE OBRA.";"Fundamento Legal: LEI 8.666/1993";"Pregão";"Não se aplica";"25000";"Ministério da Economia";"25000";"Ministério da Economia - Unidades com vínculo";"170183";"DELEGACIA DA RFB EM SANTA MARIA";"12/08/2016";"18/08/2016";"22/08/2016";"21/08/2021";"06352011000117";"M.S.V. SISTEMAS DE SEGURANCA LTDA";"74900,0000";"82883,2800";"000032016";"170183";"DELEGACIA DA RFB EM SANTA MARIA";"5";"Pregão"
"62016";"Objeto: Contratação de serviços de vigilância armada diurna e noturna.";"Fundamento Legal: Art. 55 da Lei 8.666/93";"Pregão";"Publicado";"36000";"Ministério da Saúde";"36000";"Ministério da Saúde - Unidades com vínculo di";"250012";"SUPERINTENDENCIA ESTADUAL DO MS/AC";"15/08/2016";"29/08/2016";"17/08/2016";"17/08/2017";"02764609000162";"GOLD SERVICE VIGILANCIA E SEGURANCA LTDA";"219895,0800";"1146241,7700";"000032016";"250012";"SUPERINTENDENCIA ESTADUAL DO MS/AC";"5";"Pregão"
"72016";"Objeto: Prestacao de servicos continuados de natureza comum de auxiliar de servicos gerais, de acordo com as especificacoes tecnicas constantes no edital e anexos.";"Fundamento Legal: 8666/93";"Pregão";"Publicado";"26000";"Ministério da Educação";"26258";"Universidade Tecnológica Federal do Paraná";"152134";"UTFPR - CAMPUS GUARAPUAVA";"13/07/2016";"05/08/2016";"13/07/2016";"13/07/2017";"04959902000100";"EDEN PRESTADORA DE SERVICOS DE LIMPEZA - EIRELI";"6108,0000";"6108,0000";"000142016";"152134";"UTFPR - CAMPUS GUARAPUAVA";"5";"Pregão"
"82016";"Objeto: Contratação de empresa especializada na prestação de serviço no ensino de língua espanhola.";"Fundamento Legal: Lei nº 8.666/1993, Lei nº 10.520/2002, Decreto nº 2.271/1997, Decreto nº 7.892/2013 e IN SLTI/MPOG nº 02/2008 e alterações.";"Pregão - Registro de Preço";"Publicado";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120001";"GABINETE DO COMANDANTE DA AERONAUTICA";"29/07/2016";"05/08/2016";"01/08/2016";"31/07/2017";"07624814000146";"BRAVO INSTITUTO CULTURAL HISPANO-AMERICANO LTDA";"60174,0000";"323017,0900";"000052016";"120001";"GABINETE DO COMANDANTE DA AERONAUTICA";"-99";"Pregão - Registro de Preço"
"62016";"Objeto: Aquisição de material de consumo.";"Fundamento Legal: Dec 5.450/05 e Lei 8.666/93.";"Pregão - Registro de Preço";"Publicado";"40000";"Ministério do Trabalho";"37202";"Instituto Nacional do Seguro Social";"512087";"GERENCIA EXECUTIVA DUQUE DE CAXIAS";"06/07/2016";"11/08/2016";"06/07/2016";"31/12/2016";"19590049000170";"KELEDU COMERCIO DE MATERIAIS DE PAPELARIA E ESCRITORIO LTDA";"359,0000";"359,0000";"000012015";"512086";"GERENCIA EXECUTIVA PETROPOLIS";"-99";"Pregão - Registro de Preço"
"40142016";"OBJETO: Serviço de manutenção preventiva em todos os componentes, instrumentos, equipamentos esistemas que compõem a subestação principal, nivel de tensão de 138 kv e 13,8 kv, bem como para a manutenção corretiva em dois disjuntores dede 13,8 kv e um de 138 kv, na Unidade de Tratamento de Minérios - UTM. CT 4/16/014. Pregão Eletrônico GESUP.F 1.018/16.";"Fundamento Legal: Lei 10.520/02, Decreto 5.450/05, Pregão Eletrônico  1.018/16.";"Sem Informação";"Fechado";"32000";"Ministério de Minas e Energia";"20303";"Indústrias Nucleares do Brasil";"113206";"INDUSTRIAS NUCLEARES DO BRASIL S/A - INB";"25/07/2016";"04/08/2016";"25/07/2016";"22/09/2016";"19924970000101";"GERAENERGY COMERCIO MANUTENCAO E INSTALACAO ELETRICAS LTDA";"88000,0000";"88000,0000";"-2";"";"";"";""
"568442016";"Objeto: Serviços de leitura e remessa eletrônica de publicações judiciais.";"Fundamento Legal: Art. 24, Inc. II e .1º da Lei 8.666/93.";"Dispensa de Licitação";"Publicado";"25000";"Ministério da Economia";"25207";"Serviço Federal de Processamento de Dados";"803010";"SERPRO - REGIONAL BRASILIA";"01/08/2016";"25/08/2016";"01/08/2016";"31/07/2017";"16841580000180";"ADVISECLIP SERVICOS EM TECNOLOGIA LTDA";"1390,8000";"2846,9500";"010832016";"803010";"SERPRO - REGIONAL BRASILIA";"6";"Dispensa de Licitação"
"62016";"Objeto: Contratação de serviço de energia elétrica.";"Fundamento Legal: Lei 8.666/93";"Dispensa de Licitação";"Publicado";"26000";"Ministério da Educação";"26422";"Instituto Federal Catarinense";"152662";"IF CATARINENSE - CAMPUS FRAIBURGO";"19/07/2016";"02/08/2016";"19/07/2016";"";"08336783000190";"CELESC DISTRIBUICAO S.A";"35750,0000";"35750,0000";"000072016";"152662";"IF CATARINENSE - CAMPUS FRAIBURGO";"6";"Dispensa de Licitação"
"372016";"Objeto: CONTRATAÇÃO de Serviços Especializados de Coleta de Resíduos Sólidos para o Câmpus Xanxerê do IFSC.";"Fundamento Legal: Art., 62 da Lei 8666/93 e suas alterações.";"Pregão";"Publicado";"26000";"Ministério da Educação";"26438";"Instituto Federal de Santa Catarina";"158516";"INST.FED.DE EDUC.,CIENC.E TEC.DE STA.CAT/IFSC";"08/08/2016";"11/08/2016";"15/08/2016";"15/08/2017";"07141596000199";"ECOLUZ SOLUCOES AMBIENTAIS LTDA";"7148,8000";"14297,6000";"000462016";"158516";"INST.FED.DE EDUC.,CIENC.E TEC.DE STA.CAT/IFSC";"5";"Pregão"
"412016";"Objeto: Aquisição de refil para purificardor latina puritronic.";"Fundamento Legal: Artigo 24, inciso II, da Lei 8666/93.";"Dispensa de Licitação";"Publicado";"40000";"Ministério do Trabalho";"37202";"Instituto Nacional do Seguro Social";"511339";"GERENCIA EXECUTIVA SAO PAULO-SUL";"21/07/2016";"03/08/2016";"21/07/2016";"18/11/2016";"16973809000130";"MASPE ELETRODOMESTICOS EIRELI";"1296,0000";"1296,0000";"000162016";"511339";"GERENCIA EXECUTIVA SAO PAULO-SUL";"6";"Dispensa de Licitação"
"82016";"Objeto: CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO, POR MEIO DE ASSINATURA ANUAL, ACESSO À FERRAMENTA E PESQUISAS E COMPARAÇÃO DE PREÇOS PRATICADOS PELA AMINISTRAÇÃO PÚBLICA.";"Fundamento Legal: LEI 8.666/93, LEI 10.520/02, DECRETO 7.892/13, DECRETO 2.";"Pregão - Registro de Preço";"Não se aplica";"30000";"Ministério da Justiça e Segurança Pública";"30802";"Departamento de Polícia Rodoviária Federal";"200141";"SUPERINTENDENCIA DA PRF NO DISTRITO FEDERAL";"22/07/2016";"26/08/2016";"22/07/2016";"21/07/2017";"07797967000195";"NP TECNOLOGIA E GESTAO DE DADOS LTDA";"5725,0000";"5725,0000";"000032016";"200118";"SUPERINTENDENCIA DA PRF NO PARANA";"-99";"Pregão - Registro de Preço"
"102016";"Objeto: Contratação de empresa de prestação de serviços de apoio operacional e administrativo de forma continua, para atender a demanda do Parna Tijuca, conforme TR do Pregão 10/2014.";"Fundamento Legal: art. 24 inciso XI e art. 54 da Lei 8666/93.";"Dispensa de Licitação";"Publicado";"44000";"Ministério do Meio Ambiente";"44207";"Instituto Chico Mendes de Conservação da Biod";"443055";"INST.CHICO MENDES DE CONSER.DA BIODIVERSIDADE";"28/07/2016";"24/08/2016";"31/07/2016";"08/09/2016";"11395635000151";"ALE & DAN SERVICOS CONSERVACAO E LIMPEZA LTDA";"2135663,8500";"4271327,7000";"000182016";"443055";"INST.CHICO MENDES DE CONSER.DA BIODIVERSIDADE";"6";"Dispensa de Licitação"
"52016";"Objeto: Fornecimento de energia elétrica";"Fundamento Legal: Parág. unico, art. 61, lei nº 8.666/93";"Dispensa de Licitação";"Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160520";"23º BATALHAO LOGISTICO DE SELVA";"26/07/2016";"24/08/2016";"26/07/2016";"";"04895728000180";"EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.";"445810,7600";"445810,7600";"000622016";"160520";"23º BATALHAO LOGISTICO DE SELVA";"6";"Dispensa de Licitação"
"8562016";"OBJETO: Óleo lubrificante sintético";"Fundamento Legal: 8666.93";"Sem Informação";"Fechado";"32000";"MINISTERIO DE MINAS E ENERGIA";"91081";"FURNAS-CENTRAIS ELETRICAS S.A.";"926524";"AMAZONAS GERAÇÃO E TRANSMISSÃO DE ENERGIA S.A";"11/08/2016";"19/08/2016";"11/08/2016";"09/12/2016";"12417472000123";"BRINGEL MEDICAL DISTRIBUIDORA DE MEDICAMENTOS LTDA";"257971,7700";"257971,7700";"-2";"";"";"";""
"162016";"Objeto: Contratação de pessoa jurídica para distribuição de publicidade legal impressa e/ou eletrônica para o IFSul - Campus Pelotas.";"Fundamento Legal: Lei 866/93, Lei 11652/08, Lei 6650/79, Lei 4680/65, Decreto 6555/08 e Decreto 57690/66.";"Inexigibilidade de Licitação";"Publicado";"26000";"Ministério da Educação";"26436";"Instituto Federal Sul-rio-grandense";"158467";"INST.FED.SUL-RIO-GRANDENSE/CAMPUS PELOTAS";"01/08/2016";"22/08/2016";"01/08/2016";"31/07/2017";"09168704000142";"EMPRESA BRASIL DE COMUNICACAO S.A. - EBC";"120000,0000";"600000,0000";"000082016";"158467";"INST.FED.SUL-RIO-GRANDENSE/CAMPUS PELOTAS";"7";"Inexigibilidade de Licitação"
"18762016";"OBJETO: Cadeiras.";"Fundamento Legal: Decreo 3.555.";"Sem Informação";"Fechado";"32000";"Ministério de Minas e Energia";"91081";"Empresas de Energia";"910847";"ELETROBRAS TERMONUCLEAR S/A";"20/10/2016";"17/08/2016";"20/10/2016";"19/11/2016";"49058654000165";"FLEXFORM INDUSTRIA E COMERCIO DE MOVEIS LTDA";"14836,5500";"14836,5500";"-2";"";"";"";""
"422016";"Objeto: Aquisição de 10 (dez) Scanner, para atender a demanda da SUDAM, conforme especificações técnicas constantes na Ata de Regirto de Preços nº 131/2016.";"Fundamento Legal: Decretos 3555/2002 e 544502005 e lei 10520.";"Pregão - Registro de Preço";"Publicado";"53000";"Ministério do Desenvolvimento Regional";"53202";"Superintendência do Desenvolvimento da Amazôn";"533013";"SUPERINTEND. DO DESENVOLVIMENTO DA AMAZONIA";"05/08/2016";"25/08/2016";"25/08/2016";"25/08/2017";"20645805000108";"ROSS TECH - INFORMATICA EIRELI";"80000,0000";"96000,0000";"000952014";"153052";"UNIVERSIDADE FEDERAL DE GOIAS";"-99";"Pregão - Registro de Preço"
"82016";"Objeto: Contrato celebrado entre a União, por  intermédio do DSEI-RT, e a empresa ECO EMGENHARIA LTDA - EPP, para execução de serviço de reforma e ampliação de rede de água e abastecimentoda Aldeia Katô, na zona rural do municipio de jacareacanda-PA, com fornecimento de mão de obrae materiais.";"Fundamento Legal: Lei 8.666/93";"Tomada de Preços";"Publicado";"36000";"Ministério da Saúde";"36000";"Ministério da Saúde - Unidades com vínculo di";"257045";"DISTRITO SANIT.ESP.INDIGENA - TAPAJOS";"17/08/2016";"19/08/2016";"17/08/2016";"16/08/2017";"16993292000140";"ECO ENGENHARIA LTDA";"358423,1300";"485137,4900";"000062015";"257045";"DISTRITO SANIT.ESP.INDIGENA - TAPAJOS";"2";"Tomada de Preços"
"232016";"Objeto: Aquisição de equipamentos de informática incluindo serviço de instalação, garantia, assistência técnica e transferência de conhecimento de acordo com as condições e as especificações constantes no Edital 57/2015, UASG 200009, econstantes no Edital 57/2015, UASG 200009,  e oe o instrumento e dos anexos do edital.";"Fundamento Legal: Lei 8666/93; 10520/2002 e todas as outras previstas no contrato.";"Pregão - Registro de Preço";"Publicado";"26000";"Ministério da Educação";"26414";"Instituto Federal do Mato Grosso";"158950";"INST.FED.MATO GROSSO/CAMPUS SORRISO";"18/08/2016";"23/08/2016";"18/08/2016";"18/01/2017";"00395228000128";"CPD CONSULTORIA, PLANEJAMENTO E DESENVOLVIMENTO DE SISTEMAS LTDA";"33645,0000";"33645,0000";"000572015";"";"";"";""
"122016";"Objeto: PRESTAÇAO DO SERVIÇO CONTÍNUO DE SEGURO DE VEÍCULOS";"Fundamento Legal: LEI Nº 8.666, DE 1993";"Pregão - Registro de Preço";"Não se aplica";"26000";"Ministério da Educação";"26430";"Instituto Federal do Sertão de Pernambuco";"158499";"INST.FED.SERTAO PERNAMBUCANO/CAMPUS PETROLINA";"02/06/2016";"05/08/2016";"16/06/2016";"15/06/2019";"61198164000160";"PORTO SEGURO COMPANHIA DE SEGUROS GERAIS";"55399,0300";"55399,0300";"000052016";"158149";"INST.FED.DE ED.,CIENC.E TEC.DO S.PERNAMBUCANO";"-99";"Pregão - Registro de Preço"
"162016";"Objeto: Contratação de empresa especializada visando a prestação de serviços de tradução/versão literária e interpretação simultânea ou consecutiva, de idiomas estrangeiros para  língua portuguesa; bem como a língua portuguesa para idiomas estrangeiros; compreendendo, quando aplicável, a locação de equipamentos de áudio para tradução verbal, com o objetivo de atender as necessidades do MDIC.";"Fundamento Legal: Lei nº 8.666/93.";"Pregão";"Publicado";"25000";"Ministério da Economia";"25000";"Ministério da Economia - Unidades com vínculo";"280101";"COORDENACAO-GERAL DE RECURSOS LOGISTICOS";"16/08/2016";"17/08/2016";"16/08/2016";"16/08/2017";"16894574000190";"ORIENTE-SE PRODUCOES LTDA";"410040,0000";"1047777,6000";"000112016";"280101";"COORDENACAO-GERAL DE RECURSOS LOGISTICOS";"5";"Pregão"
"212016";"Objeto: Contratação para prestação de serviços especializados de limpeza, conservação e higienização nas dependências da Fiocruz, a serem realizados em ambiente hospitalar, ambulatorial, laboratorial e administrativo com fornecimento de todo material para o uso dos profissionais.";"Fundamento Legal: Lei 8.666/93 e suas alterações.";"Pregão";"Publicado";"36000";"Ministério da Saúde";"36201";"Fundação Oswaldo Cruz";"254462";"COORDENACAO GERAL DE INFRAESTRUTURA DOS CAMPI";"28/07/2016";"30/08/2016";"01/09/2016";"01/09/2017";"29212545000143";"NOVA RIO SERVICOS GERAIS LTDA";"48937662,3600";"265682960,0300";"000442015";"254462";"COORDENACAO GERAL DE INFRAESTRUTURA DOS CAMPI";"5";"Pregão"
"152016";"Objeto: Fornecimento e instalação de aparelhos de ar condicionado para o IFC Araquari";"Fundamento Legal: lei 8666/93";"Pregão";"Publicado";"26000";"Ministério da Educação";"26422";"Instituto Federal Catarinense";"158459";"IF CATARINENSE - CAMPUS ARAQUARI";"16/08/2016";"18/08/2016";"16/08/2016";"15/08/2017";"13482516000161";"SUPERAR EIRELI";"167530,0000";"167530,0000";"000082016";"158459";"IF CATARINENSE - CAMPUS ARAQUARI";"5";"Pregão"
"22016";"Objeto: PRESTAÇÃO DE SERVIÇO DE FORNECIMENTO DEÁGUA POTÁVEL CANALIZADA PARA O 22º BATALHÃO DEINFANTARIA.";"Fundamento Legal: CAPUT, ART 25 DA LEI 8.666/93";"Inexigibilidade de Licitação";"Não se aplica";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160547";"22 BATALHAO DE INFANTARIA";"01/07/2016";"05/08/2016";"01/07/2016";"31/12/2099";"25089509000183";"COMPANHIA DE SANEAMENTO DO TOCANTINS - SANEATINS";"132000,0000";"132000,0000";"000012016";"160547";"22 BATALHAO DE INFANTARIA";"7";"Inexigibilidade de Licitação"
"32016";"Objeto: Contratação de empresa especializada na prestação de serviços continuados de limpeza, asseio e conservação predial";"Fundamento Legal: Lei 8.666/93,Decreto 2.271/97e IN MPOG/SLTI 02/08.";"Pregão";"Publicado";"26000";"Ministério da Educação";"26412";"Instituto Federal do Sul de Minas Gerais";"154809";"IFSULDEMINAS - CAMPUS POCOS DE CALDAS";"19/07/2016";"24/08/2016";"24/08/2016";"24/08/2017";"07123895000109";"CENTRALLIMP LIMPEZA E SERVICOS LTDA";"194737,9200";"819269,7400";"000022016";"154809";"IFSULDEMINAS - CAMPUS POCOS DE CALDAS";"5";"Pregão"
"332016";"Objeto: Aquisição de 25 rolos, com 50 metros, papel ploter, marca anagon, para a Gerência-Executiva São Luís - MA.";"Fundamento Legal: Lei nº 10.520/2001 e Decretos 7.892/2013 e 5.450/2005.";"Pregão - Registro de Preço";"Publicado";"40000";"Ministério do Trabalho";"37202";"Instituto Nacional do Seguro Social";"511270";"GERENCIA EXECUTIVA SAO LUIS";"07/07/2016";"15/08/2016";"07/07/2016";"07/07/2017";"16628998000103";"CCS CORP COMERCIO E SERVICOS EIRELI";"677,0000";"677,0000";"000022015";"510677";"SUPERINTENDENCIA REGIONAL NORDESTE";"-99";"Pregão - Registro de Preço"
"142016";"Objeto: Fornecimento de energia eletrica para atender as demandas do IFBAIANO Campus Valenca.";"Fundamento Legal: Lei 8666/93 e alteracoes.";"Dispensa de Licitação";"Rescindido - Publicado";"26000";"Ministério da Educação";"26404";"Instituto Federal Baiano";"154579";"INSTITUTO FEDERAL BAIANO - CAMPUS VALENCA";"12/07/2016";"08/08/2016";"16/07/2016";"";"15139629000194";"COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA COELBA";"60000,0000";"60000,0000";"000152016";"154579";"INSTITUTO FEDERAL BAIANO - CAMPUS VALENCA";"6";"Dispensa de Licitação"
"52016";"Objeto: Contratação de serviços Terceirizados de Secretárias, Recepcionistas e Office Boy.";"Fundamento Legal: lei 8666/93.";"Pregão";"Publicado";"22000";"Ministério da Agricultura, Pecuária e Abastec";"22201";"Instituto Nacional de Colonização e Reforma A";"373037";"SUPERINT. REG. DO OESTE DO PARA - SR(PA/O)";"03/08/2016";"31/08/2016";"03/08/2016";"02/08/2017";"06028733000110";"L G SERVICOS PROFISSIONAIS EIRELI";"760415,8800";"1652475,5000";"000062016";"373037";"SUPERINT. REG. DO OESTE DO PARA - SR(PA/O)";"5";"Pregão"
