"Número do Contrato";"Objeto";"Fundamento Legal";"Modalidade Compra";"Situação Contrato";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Data Assinatura Contrato";"Data Publicação DOU";"Data Início Vigência";"Data Fim Vigência";"Código Contratado";"Nome Contratado";"Valor Inicial Compra";"Valor Final Compra";"Número Licitação";"Código UG Licitação";"Nome UG Licitação";"Código Modalidade Compra Licitação";"Modalidade Compra Licitação"
"92016";"Objeto: Contratação de empresa especializada para prestação de serviços de vigilância armada para a sede da UE/PB";"Fundamento Legal: Lei 8.666/93";"Dispensa de Licitação";"Publicado";"25000";"Ministério da Economia";"25205";"Fundação Instituto Brasileiro de Geografia e ";"114613";"UNIDADE ESTADUAL DO IBGE NA PARAIBA";"25/10/2016";"23/12/2016";"25/10/2016";"25/02/2017";"05554220000180";"FALCONSEG - SEGURANCA DE VALORES LTDA";"45040,0000";"45040,0000";"000252016";"114613";"UNIDADE ESTADUAL DO IBGE NA PARAIBA";"6";"Dispensa de Licitação"
"572016";"Objeto: PRESTAÇÃO DE SERVIÇO DE APOIO LOGÍSTICO E GESTÃO FINANCEIRA PARA EXECUÇÃO DO PROJETO APEFEIÇOAMENTO DA GESTÃO DA SECRETARIA DE ATENÇÃO À SAÚDE, POR MEIO DO MAPEAMENTO DOS PROCESSOSDE TRABALHO E DE COMPETÊNCIAS INSTITUCIONAIS.";"Fundamento Legal: ART. 24 DA LEI 8666/93; ART. 1 DA LEI 8958/94; DEC. 7423/";"Dispensa de Licitação";"Não se aplica";"36000";"Ministério da Saúde";"36201";"Fundação Oswaldo Cruz";"254420";"FUNDACAO OSWALDO CRUZ";"28/11/2016";"09/12/2016";"28/11/2016";"06/07/2021";"02385669000174";"FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE";"55075693,0000";"55075693,0000";"001732016";"254420";"FUNDACAO OSWALDO CRUZ";"6";"Dispensa de Licitação"
"322016";"Objeto: Aquisição de material permanente (carrinho multiuso) para esta GEX.";"Fundamento Legal: Leis 10520/02 e 8666/93";"Pregão - Registro de Preço";"Publicado";"40000";"Ministério do Trabalho";"37202";"Instituto Nacional do Seguro Social";"510510";"GERENCIA EXECUTIVA JOAO PESSOA";"07/11/2016";"14/12/2016";"07/11/2016";"31/12/2016";"14676091000194";"AGNUS COMERCIO DE MAQUINAS E EQUIPAMENTOS EIRELI";"1943,7000";"1943,7000";"000032015";"510677";"SUPERINTENDENCIA REGIONAL NORDESTE";"-99";"Pregão - Registro de Preço"
"62016";"Objeto: Contratação de serviços postais para atender as necessidades do IFPB Campus Monteiro.";"Fundamento Legal: Lei 8666/93 e demais normas pertinentes.";"Inexigibilidade de Licitação";"Publicado";"26000";"Ministério da Educação";"26417";"Instituto Federal da Paraíba";"158472";"IFPB - CAMPUS MONTEIRO";"01/12/2016";"09/12/2016";"01/12/2016";"01/12/2017";"34028316001932";"EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS";"3000,0000";"3000,0000";"000132016";"158472";"IFPB - CAMPUS MONTEIRO";"7";"Inexigibilidade de Licitação"
"108102016";"OBJETO: Fornecimento de 11 (onze)_Freezers horizontais capacidade 500 litros";"Fundamento Legal: Lei 10520/2002";"Sem Informação";"Fechado";"53000";"Ministério do Desenvolvimento Regional";"22203";"Companhia de Desenvolvimento dos Vales do São";"195005";"CIA DE DES.DOS VALES DO S.FRANC.E DO PARNAIBA";"21/11/2016";"06/12/2016";"01/06/2017";"30/08/2017";"18599915000120";"OWL PRODUCOES E EVENTOS COMERCIO E LICITACOES EIRELI";"27121,0500";"27121,0500";"-2";"";"";"";""
"50002016";"OBJETO: Prestação de Assistência Médico-Hospitalar(AMH)complementar ou suplementar aos serviçoexistentes na rede hospitalar e ambulatorial dosistema de saúde da Marinha(SSM).";"Fundamento Legal: Lei 8.666/93,Art.25 Inc. II";"Sem Informação";"Fechado";"52000";"Ministério da Defesa";"52131";"Comando da Marinha";"789000";"COMANDO DO 8.DISTRITO NAVAL";"12/12/2016";"19/12/2016";"14/12/2016";"13/12/2017";"18101348000130";"IPAC CARDIOLOGIA LTDA";"1,0000";"1,0000";"-2";"";"";"";""
"1312016";"Objeto: Contratação dos serviços de limpeza, conservação, higienização, asseio diário e copeiragem.";"Fundamento Legal: Lei 8.666/93 e suas alterações posteriores.";"Pregão";"Publicado";"26000";"Ministério da Educação";"26264";"Universidade Federal Rural do Semi-Árido";"153033";"UNIVERSIDADE FEDERAL RURAL DO SEMI-ARIDO - RN";"12/12/2016";"20/12/2016";"12/12/2016";"12/12/2017";"01219144000104";"H L DOS SANTOS EIRELI";"548178,3800";"548178,3800";"000372016";"153033";"UNIVERSIDADE FEDERAL RURAL DO SEMI-ARIDO - RN";"5";"Pregão"
"962016";"Objeto: Execução de obra da subestação de Distribuição de Energia me média tensão no campus OUro Preto, município de Ouro Preto.";"Fundamento Legal: Lei 8.666/93.";"Concorrência";"Publicado";"26000";"Ministério da Educação";"26277";"Universidade Federal de Ouro Preto";"154046";"UNIVERSIDADE FEDERAL DE OURO PRETO";"11/11/2016";"20/12/2016";"11/11/2016";"10/05/2017";"12970584000107";"PLX INSTALACOES E MONTAGENS - EIRELI";"1503469,4200";"1676895,1100";"000032016";"154046";"UNIVERSIDADE FEDERAL DE OURO PRETO";"3";"Concorrência"
"72016";"Objeto: Prestação de serviços de MANUTENÇÃO PREDIAL, conforme termo de referência.";"Fundamento Legal: Lei 8.666/93, IN 02/2008, dec. 2.271/97, Lei 10.520/02.";"Pregão - Registro de Preço";"Publicado";"26000";"Ministério da Educação";"26431";"Instituto Federal do Piauí";"155214";"INST. FED. PIAUI/CAMPUS COCAL";"23/11/2016";"14/12/2016";"09/12/2016";"09/12/2017";"09019150000111";"ATITUDE TERCEIRIZACAO DE MAO DE OBRA EIRELI";"66558,0000";"278625,8200";"000022016";"155207";"INST. FED. PIAUI/CAMPUS CAMPO MAIOR";"-99";"Pregão - Registro de Preço"
"922016";"Objeto: Aquisição de material permanente";"Fundamento Legal: Leis nº 10520/02 e 8666/93";"Pregão - Registro de Preço";"Publicado";"40000";"Ministério do Trabalho";"37202";"Instituto Nacional do Seguro Social";"512006";"COORDENACAO DE ORCAMENTO E FINANCAS";"06/12/2016";"12/12/2016";"06/12/2016";"06/12/2017";"16648827000146";"RSC COMERCIO E SERVICOS EM LICITACAO EIRELI";"38052,0000";"38052,0000";"000212015";"512006";"COORDENACAO DE ORCAMENTO E FINANCAS";"-99";"Pregão - Registro de Preço"
