"Número do Contrato";"Objeto";"Fundamento Legal";"Modalidade Compra";"Situação Contrato";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Data Assinatura Contrato";"Data Publicação DOU";"Data Início Vigência";"Data Fim Vigência";"Código Contratado";"Nome Contratado";"Valor Inicial Compra";"Valor Final Compra";"Número Licitação";"Código UG Licitação";"Nome UG Licitação";"Código Modalidade Compra Licitação";"Modalidade Compra Licitação"
"552021";"Objeto: CONTRATAÇÃO DO CURSO DE APRIMORAMENTO EM GOVERNANÇA PARA ADMINISTRADORES E CONSELHEIROS FISCAIS DA EBC.";"";"Sem Informação";"Não se aplica";"41000";"Ministério das Comunicações";"20415";"Empresa Brasil de Comunicação";"115406";"EMPRESA BRASIL DE COMUNICACAO S.A";"30/08/2021";"14/09/2021";"01/09/2021";"01/09/2022";"01082331000180";"INSTITUTO BRASILEIRO DE GOVERNANCA CORPORATIVA";"69000,0000";"69000,0000";"-3";"";"";"";""
"1822019";"Objeto: CONTRATAÇÃO DE SERVIÇO PARA COLETA MENSAL DE DOIS CONTEINERES DE 240L, PARA LIXO INFECTANTE, ENQUADRADOS COMO RESÍDUOS SÓLIDOS ESPECIAIS (RSE).";"";"Pregão";"Não se aplica";"52000";"Ministério da Defesa";"52131";"Comando da Marinha";"721000";"ESCOLA DE GUERRA NAVAL";"30/08/2019";"06/09/2021";"30/08/2019";"30/08/2023";"09423108000161";"KIOTO AMBIENTAL LTDA";"1110,0000";"1328,0400";"000182019";"721000";"ESCOLA DE GUERRA NAVAL";"5";"Pregão"
"292021";"Objeto: O OBJETO DO PRESENTE TERMO DE CONTRATO É A AQUISIÇÃO DE EQUIPAMENTOS DE PROTEÇÃO INDIVIDUAL EPIS PARA UTILIZAÇÃO NAS ATIVIDADES DE PREVENÇÃO E RESPOSTA ÀS EMERGÊNCIAS AMBIENTAIS PELO AGENTES DE EMERGÊNCIAS AMBIENTAIS - AEA DO IBAMA, CONFORME ESPECIFICAÇÕES E QUANTITATIVOS ESTABELECIDOS NO TERMO DE REFERÊNCIA, ANEXO DO EDITAL.";"";"Pregão";"Não se aplica";"44000";"Ministério do Meio Ambiente";"20701";"Instituto Brasileiro do Meio Ambiente e dos R";"193099";"IBAMA-INST.BRAS.DO MEIO AMB.E DOS REC.NAT.REN";"17/09/2021";"23/09/2021";"17/09/2021";"17/09/2022";"36779930000132";"J2 COMERCIO E SERVICOS LTDA";"17500,0000";"17500,0000";"000182021";"193099";"IBAMA-INST.BRAS.DO MEIO AMB.E DOS REC.NAT.REN";"5";"Pregão"
"442021";"Objeto: AQUISIÇÃO DE BANANA PRATA PARA ATENDER AO CENTRO DA BIOLOGIA DA REPRODUÇÃO - CBR/UFJF";"";"Dispensa de Licitação";"Não se aplica";"26000";"Ministério da Educação";"26237";"Universidade Federal de Juiz de Fora";"153061";"UNIVERSIDADE FEDERAL DE JUIZ DE FORA";"23/09/2021";"24/09/2021";"30/09/2021";"29/09/2022";"29455568000189";"DISTRIBUIDORA VIB LTDA";"12150,0000";"12150,0000";"000232021";"153061";"UNIVERSIDADE FEDERAL DE JUIZ DE FORA";"6";"Dispensa de Licitação"
"42021";"Objeto: CONTRATAÇÃO DA EMPRESA ATP - AROUD THE PIER ADMINISTRAÇÃO E PARTICIPAÇÕES LTDA, VISANDO ATENDER AO TRANSPORTE DE MILITARES DA ESCOLA NAVAL (EN) E CONVIDADOS (CIVIS E MILITARES), NO TRAJETO PRAÇA XV - EN EM EMBARCAÇÃO APROPRIADA, PARA O EVENTO DO DIA 19 DE JUNHO DE 2021.";"";"Inexigibilidade de Licitação";"Não se aplica";"52000";"Ministério da Defesa";"52131";"Comando da Marinha";"762400";"ESCOLA NAVAL";"17/06/2021";"17/09/2021";"19/06/2021";"18/07/2021";"05510716000152";"ATP - AROUND THE PIER ADMINISTRACAO E PARTICIPACOES LTDA.";"36379,8400";"36379,8400";"000012021";"762400";"ESCOLA NAVAL";"7";"Inexigibilidade de Licitação"
"1022021";"Objeto: O OBJETO DO PRESENTE INSTRUMENTO É A CONTRATAÇÃO DE SERVIÇOS DE ADEQUAÇÃO DAS INSTALAÇÕES ELÉTRICAS DA COMPANHIA DE COMANDO DA 11ª BRIGADA DE INFANTARIA LEVE.";"";"Pregão";"Não se aplica";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160466";"COMANDO 11 BRIGADA INFANTARIA LEVE (GLO)";"21/02/2021";"14/09/2021";"22/02/2021";"22/06/2021";"26353108000151";"EMJ COMERCIAL E SERVICOS EIRELI";"187611,9700";"187611,9700";"000242019";"160466";"COMANDO 11 BRIGADA INFANTARIA LEVE (GLO)";"5";"Pregão"
"332021";"Objeto: CONTRATAÇÃO DE EMPRESA PARA AQUISIÇÃO DE ESTAÇÕES DE TRABALHO (DESKTOP ULTRACOMPACTO TIPO II - PADRÃO).";"";"Pregão";"Não se aplica";"26000";"Ministério da Educação";"26245";"Universidade Federal do Rio de Janeiro";"153115";"UNIVERSIDADE FEDERAL DO RIO DE JANEIRO";"24/09/2021";"28/09/2021";"24/09/2021";"23/09/2022";"72381189001001";"DELL COMPUTADORES DO BRASIL LTDA";"35330,0000";"35330,0000";"000112020";"153115";"UNIVERSIDADE FEDERAL DO RIO DE JANEIRO";"5";"Pregão"
"282021";"Objeto: RENOVAÇÃO DE GARANTIA DELL PROSUPPORT MISSÃO CRÍTICA COM RESPOSTA EM 8 (OITO) HORAS ON SITE PARA SERVIDOR DELL POWEREDGE R730 IDENTIFICADO PELA SERVICE TAG (ETIQUETA DE SERVIÇO) FH8SKF2, CONFORME ESPECIFICAÇÕES ESTABELECIDAS NESTE CONTRATO, NO TERMO DE REFERÊNCIA E NA PROPOSTA, OS QUAIS INTEGRAM O INSTRUMENTO, INDEPENDENTE DE TRANSCRIÇÃO.";"";"Dispensa de Licitação";"Não se aplica";"26000";"Ministério da Educação";"26254";"Universidade Federal do Triângulo Mineiro";"153035";"UNIVERSIDADE FEDERAL DO TRIANGULO MINEIRO";"22/09/2021";"24/09/2021";"27/09/2021";"27/09/2023";"05333907000196";"IT-ONE TECNOLOGIA DA INFORMACAO S.A.";"12133,9000";"12133,9000";"096282021";"153035";"UNIVERSIDADE FEDERAL DO TRIANGULO MINEIRO";"6";"Dispensa de Licitação"
"202021";"Objeto: CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS CONTÍNUOS DE VIGILÂNCIA COM DEDICAÇÃO EXCLUSIVA DE MÃO DE OBRA E FORNECIMENTO DE MATERIAIS, NAS DEPENDÊNCIAS HC-UFU/EBSERH, CONFORME CONDIÇÕES, QUANTIDADES E EXIGÊNCIAS ESTABELECIDAS NESTE INSTRUMENTO, NO TERMO DE REFERÊNCIA, ANEXO I DO EDITAL DO PREGÃO ELETRÔNICO Nº 03/2021, SENDO O PRAZO DE VIGÊNCIA INICIAL DE 24 (VINTE E QUATRO) MESES, PODENDO SER PRORROGADO POR INTERESSE DAS PARTES ATÉ O LIMITE DE 60 (SESSENTA) MESES, CONTADOS A PARTIR DE S";"";"Pregão";"Não se aplica";"26000";"Ministério da Educação";"26443";"Empresa Brasileira de Serviços Hospitalares";"156654";"HOSPITAL DE CLINICAS DE UBERLANDIA";"08/09/2021";"10/09/2021";"01/10/2021";"01/10/2023";"06311787000199";"PORTAL NORTE SEGURANCA PATRIMONIAL EIRELI";"3674495,0400";"4043443,2000";"000032021";"156654";"HOSPITAL DE CLINICAS DE UBERLANDIA";"5";"Pregão"
"392021";"Objeto: AQUISIÇÃO DE PEÇAS E RECARGAS DE EXTINTORES";"";"Pregão - Registro de Preço";"Não se aplica";"26000";"Ministério da Educação";"26263";"Universidade Federal de Lavras";"153032";"UNIVERSIDADE FEDERAL DE LAVRAS";"28/09/2021";"30/09/2021";"28/09/2021";"28/09/2022";"18450238000184";"PEDRO EDENIR DA ROCHA";"41616,3000";"41616,3000";"000572020";"153032";"UNIVERSIDADE FEDERAL DE LAVRAS";"-99";"Pregão - Registro de Preço"
