"Número do Contrato";"Objeto";"Fundamento Legal";"Modalidade Compra";"Situação Contrato";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Data Assinatura Contrato";"Data Publicação DOU";"Data Início Vigência";"Data Fim Vigência";"Código Contratado";"Nome Contratado";"Valor Inicial Compra";"Valor Final Compra";"Número Licitação";"Código UG Licitação";"Nome UG Licitação";"Código Modalidade Compra Licitação";"Modalidade Compra Licitação"
"912014";"Objeto: Transporte rodoviário de passageiros com ônibus, no âmbito municipal, intermunicipal, interestadual e internacional. Campus Realeza/PR.";"Fundamento Legal: Lei 8666/93";"Pregão";"Publicado";"26000";"Ministério da Educação";"26440";"Universidade Federal da Fronteira Sul";"158517";"UNIVERSIDADE FEDERAL DA FRONTEIRA SUL";"03/11/2014";"27/11/2014";"03/11/2014";"02/11/2015";"77472371000109";"CATTANI SUL TRANSPORTES E TURISMO LTDA";"284990,0000";"284990,0000";"000502014";"158517";"UNIVERSIDADE FEDERAL DA FRONTEIRA SUL";"5";"Pregão"
"5282014";"OBJETO: Locação de equipamento de automação    com fornecimento de tiras reagentes";"Fundamento Legal: 8666/93";"Sem Informação";"Fechado";"36000";"Ministério da Saúde";"36210";"Hospital Nossa Senhora da Conceição S.A.";"366003";"HOSPITAL NOSSA SENHORA DA CONCEICAO S/A";"30/10/2014";"24/11/2014";"30/10/2014";"29/10/2015";"50248780000404";"ABBOTT DIAGNOSTICOS RAPIDOS S.A.";"213960,0000";"513511,6200";"-2";"";"";"";""
"802014";"Objeto: Teste";"Fundamento Legal: Lei 8.666/93";"Pregão";"Pendente";"26000";"Ministério da Educação";"26405";"Instituto Federal do Ceará";"158133";"INST.FED.DE EDUC.,CIENC.E TEC.DO CEARA";"10/11/2014";"12/11/2014";"10/11/2014";"09/11/2015";"61074175000138";"MAPFRE SEGUROS GERAIS S.A.";"241262,9100";"241262,9100";"000412014";"158133";"INST.FED.DE EDUC.,CIENC.E TEC.DO CEARA";"5";"Pregão"
"72014";"Objeto: Contratação de empresa especializada para serviços de engenharia, para construção do Posto de Saúde da Aldeia Warilatã, conforme especificações e demais elementos técnicos constantes no Edital e seus anexos.";"Fundamento Legal: Lei nº 8.666 e demais legislações correlatas.";"Tomada de Preços";"Publicado";"36000";"Ministério da Saúde";"36000";"Ministério da Saúde - Unidades com vínculo di";"257054";"DISTRITO SANIT.ESP.INDIGENA - TOCANTINS";"03/11/2014";"05/11/2014";"03/11/2014";"03/11/2015";"09644601000101";"CASA DA IRRIGACAO COM. DE EQUIP.- LTDA";"322082,4200";"644164,8400";"000052014";"257054";"DISTRITO SANIT.ESP.INDIGENA - TOCANTINS";"2";"Tomada de Preços"
"10162014";"Objeto: Prestação de serviços de vigilância patrimonial diurna desarmada, com fornecimento de mão-de-obra e dos materiais necessários à execução para as áreas físicas das Unidades Locais de Anápolis/GO, Catalão/GO, Rio Verde/GO, Jataí/GO, Aragarças/GO e Uruaçu/GO.";"Fundamento Legal: Leis n. 10.520 de 17/02/02, Lei Complementar n. 123/06, Decretos n. 5.450/05 e 6.204/07 - Lei 8.666/93.";"Pregão";"Publicado";"39000";"Ministério da Infraestrutura";"39252";"Departamento Nacional de Infraestrutura de Tr";"393011";"SUPERINTEND.REG. NOS ESTADOS GO/DF - DNIT";"27/11/2014";"28/11/2014";"01/12/2014";"30/11/2015";"08931820000109";"NEW LINE VIGILANCIA E SEGURANCA LTDA";"509819,7600";"509819,7600";"003972014";"393011";"SUPERINTEND.REG. NOS ESTADOS GO/DF - DNIT";"5";"Pregão"
"182014";"Objeto: O presente contrato tem por objeto a contratação de empresa especializada da PRESTAÇÃO DE SERVIÇO DE AQUISIÇÃO E INSTALAÇÃO DE PELÍCULA DE CONTROLE SOLAR TIPO INSULFILM PARA O IFAM-CMZL.";"Fundamento Legal: Art. 54 e seguintes da seção I - Capítulo III da Lei nº. 8.666/93.";"Pregão";"Publicado";"26000";"Ministério da Educação";"26403";"Instituto Federal do Amazonas";"158444";"IFAM - CAMPUS MANAUS ZONA LESTE";"19/09/2014";"17/11/2014";"17/11/2014";"14/02/2015";"10592754000131";"B P BARBOSA COMERCIO E SERVICOS";"7000,0000";"7000,0000";"000142014";"158444";"IFAM - CAMPUS MANAUS ZONA LESTE";"5";"Pregão"
"922014";"Objeto: Transporte rodoviário de passageiros com ônibus, no âmbito municipal, intermunicipal, interestadual e internacinal. Campus Laranjeiras do Sul/PR.";"Fundamento Legal: Lei 8666/93";"Pregão";"Publicado";"26000";"Ministério da Educação";"26440";"Universidade Federal da Fronteira Sul";"158517";"UNIVERSIDADE FEDERAL DA FRONTEIRA SUL";"03/11/2014";"27/11/2014";"03/11/2014";"02/11/2015";"79039392000152";"VIACAO PATO BRANCO S.A.";"295095,0000";"295095,0000";"000502014";"158517";"UNIVERSIDADE FEDERAL DA FRONTEIRA SUL";"5";"Pregão"
"432014";"Objeto: Prestação de serviços de transporte rodoviário de passageiros intermunicipal e interestadual para viagens destinada a UNIPAMPA, a contar a partir da saída do Campus São Gabriel/RS.";"Fundamento Legal: Lei nº 8.666/1993";"Pregão - Registro de Preço";"Publicado";"26000";"Ministério da Educação";"26266";"Fundação Universidade Federal do Pampa";"154359";"FUNDACAO UNIVERSIDADE FEDERAL DO PAMPA";"04/11/2014";"25/11/2014";"05/11/2014";"04/11/2015";"90323494000138";"TRANSPORTES ARGENTA LTDA";"104800,0000";"104800,0000";"000512014";"154359";"FUNDACAO UNIVERSIDADE FEDERAL DO PAMPA";"-99";"Pregão - Registro de Preço"
"2332014";"Objeto: Aquisição  de viatura";"Fundamento Legal: Parágrafo único do artigo 61 da lei número 8666/93";"Pregão - Registro de Preço";"Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160069";"CENTRO DE OBTENCOES DO EXERCITO";"20/11/2014";"27/11/2014";"20/11/2014";"20/03/2015";"59275792000150";"GENERAL MOTORS DO BRASIL LTDA";"55900,0000";"55900,0000";"000092014";"160069";"CENTRO DE OBTENCOES DO EXERCITO";"-99";"Pregão - Registro de Preço"
"88022015";"OBJETO: Carro eletrico";"Fundamento Legal: Decreto 5450";"Sem Informação";"Fechado";"32000";"Ministério de Minas e Energia";"91081";"Empresas de Energia";"910847";"ELETROBRAS TERMONUCLEAR S/A";"29/01/2015";"13/11/2014";"29/01/2015";"30/03/2015";"19777553000183";"AVANT CAR DO BRASIL INDUSTRIA E COMERCIO DE VEICULOS ELETRICOS LTDA";"32426,0900";"32426,0900";"-2";"";"";"";""
